team_num,name,ground,ground_num,division,division_num
1,BRE1,BRE_ground_1,1,1st XI Premier,0
2,WAN1,WAN_ground_1,2,1st XI Premier,0
3,CHE1,CHE_ground_1,3,1st XI Premier,0
4,HAD1,HAD_ground_1,4,1st XI Premier,0
5,HOR1,HOR_ground_1,5,1st XI Premier,0
6,BIL1,BIL_ground_1,6,1st XI Premier,0
7,CHI1,CHI_ground_1,7,1st XI Premier,0
8,BEL1,BEL_ground_1,8,1st XI Premier,0
9,COL1,COL_ground_1,9,1st XI Premier,0
10,HAW1,HAW_ground_1,10,1st XI Premier,0
11,BUC1,BUC_ground_1,11,1st XI Div 1,1
12,ILF1,ILF_ground_1,12,1st XI Div 1,1
13,SHE1,SHE_ground_1,13,1st XI Div 1,1
14,WWE1,WWE_ground_1,14,1st XI Div 1,1
15,FIV1,FIV_ground_1,15,1st XI Div 1,1
16,HUT1,HUT_ground_1,16,1st XI Div 1,1
17,LOU1,LOU_ground_1,17,1st XI Div 1,1
18,UPM1,UPM_ground_1,18,1st XI Div 1,1
19,OSS1,OSS_ground_1,19,1st XI Div 1,1
20,HOH1,HOH_ground_1,20,1st XI Div 1,1
21,GPR1,GPR_ground_1,21,1st XI Div 2,2
22,SOS1,SOS_ground_1,22,1st XI Div 2,2
23,OPA1,OPA_ground_1,23,1st XI Div 2,2
24,ORS1,ORS_ground_1,24,1st XI Div 2,2
25,HAT1,HAT_ground_1,25,1st XI Div 2,2
26,BEN1,BEN_ground_1,26,1st XI Div 2,2
27,WIC1,WIC_ground_1,27,1st XI Div 2,2
28,FRE1,FRE_ground_1,28,1st XI Div 2,2
29,LOS1,LOS_ground_1,29,1st XI Div 2,2
30,WOS1,WOS_ground_1,30,1st XI Div 2,2
31,OLB1,OLB_ground_1,31,1st XI Div 3,3
32,SWD1,SWD_ground_1,32,1st XI Div 3,3
33,HAR1,HAR_ground_1,33,1st XI Div 3,3
34,WAL1,WAL_ground_1,34,1st XI Div 3,3
35,ARD1,ARD_ground_1,35,1st XI Div 3,3
36,EPP1,EPP_ground_1,36,1st XI Div 3,3
37,GOR1,GOR_ground_1,37,1st XI Div 3,3
38,SLH1,SLH_ground_1,38,1st XI Div 3,3
39,WFG1,WFG_ground_1,39,1st XI Div 3,3
40,WES1,WES_ground_1,40,1st XI Div 3,3
41,RAI1,RAI_ground_1,41,1st XI Div 3,3
42,BAR1,BAR_ground_1,42,1st XI Div 3,3
43,NEW1,NEW_ground_1,43,1st XI Div 3,3
44,SPR1,SPR_ground_1,44,1st XI Div 3,3
45,HOR2,HOR_ground_1,5,2nd XI Premier,4
46,CHE2,CHE_ground_1,3,2nd XI Premier,4
47,BRE2,BRE_ground_1,1,2nd XI Premier,4
48,WAN2,WAN_ground_1,2,2nd XI Premier,4
49,ILF2,ILF_ground_1,12,2nd XI Premier,4
50,SHE2,SHE_ground_1,13,2nd XI Premier,4
51,WWE2,WWE_ground_1,14,2nd XI Premier,4
52,OPA2,OPA_ground_1,23,2nd XI Premier,4
53,CHI2,CHI_ground_1,7,2nd XI Premier,4
54,BUC2,BUC_ground_1,11,2nd XI Premier,4
55,UPM2,UPM_ground_1,18,2nd XI Div 1,5
56,WIC2,WIC_ground_1,27,2nd XI Div 1,5
57,HAW2,HAW_ground_1,10,2nd XI Div 1,5
58,LOU2,LOU_ground_1,17,2nd XI Div 1,5
59,HUT2,HUT_ground_1,16,2nd XI Div 1,5
60,COL2,COL_ground_1,9,2nd XI Div 1,5
61,BIL2,BIL_ground_1,6,2nd XI Div 1,5
62,FRE2,FRE_ground_1,28,2nd XI Div 1,5
63,SWD2,SWD_ground_1,32,2nd XI Div 1,5
64,GPR2,GPR_ground_1,21,2nd XI Div 1,5
65,BEL2,BEL_ground_1,4,2nd XI Div 2,6
66,SOS2,SOS_ground_1,22,2nd XI Div 2,6
67,HAR2,HAR_ground_1,33,2nd XI Div 2,6
68,WOS2,WOS_ground_1,30,2nd XI Div 2,6
69,OLB2,OLB_ground_1,31,2nd XI Div 2,6
70,OSS2,OSS_ground_1,19,2nd XI Div 2,6
